Latitude: 32.2299  Longitude: -110.9403
X & Y on Lambert Conformal Conic: -998128.12 -1028390.35
Tile: 11015
Elevation: 748 meters
All years; all variables; Daymet Software Version 3.0; Daymet Data Version 3.0.
How to cite: Thornton; P.E.; M.M. Thornton; B.W. Mayer; Y. Wei; R. Devarakonda; R.S. Vose; and R.B. Cook. 2016. Daymet: Daily Surface Weather Data on a 1-km Grid for North America; Version 3. ORNL DAAC; Oak Ridge; Tennessee; USA. http://dx.doi.org/10.3334/ORNLDAAC/1328

year,yday,dayl (s),prcp (mm/day),srad (W/m^2),swe (kg/m^2),tmax (deg c),tmin (deg c),vp (Pa)
1986,202,49766,11.00,396.80,0.00,35.00,19.00,840.00
1986,203,49766,12.00,358.40,0.00,32.50,19.50,880.00
1986,204,49421,0.00,518.40,0.00,34.50,19.50,880.00
1986,205,49421,0.00,531.20,0.00,37.00,21.00,960.00
1986,206,49421,0.00,550.40,0.00,38.50,21.00,960.00
1986,207,49421,0.00,566.40,0.00,39.50,20.50,920.00
1986,208,49421,0.00,566.40,0.00,39.50,20.50,920.00
1986,209,49075,0.00,528.00,0.00,38.50,22.00,1000.00
1986,210,49075,0.00,566.40,0.00,39.50,20.00,880.00
1986,211,49075,0.00,560.00,0.00,41.50,22.00,1000.00
1986,212,49075,0.00,563.20,0.00,43.00,22.50,1040.00
1986,213,48730,0.00,521.60,0.00,42.00,24.50,1200.00
1986,214,48730,0.00,531.20,0.00,40.00,22.00,1000.00
1986,215,48730,9.00,377.60,0.00,39.50,22.50,1080.00
1986,216,48730,0.00,473.60,0.00,40.50,25.00,1240.00
1986,217,48384,0.00,464.00,0.00,40.00,25.00,1240.00
1986,218,48384,5.00,348.80,0.00,38.50,23.00,1480.00
1986,219,48384,0.00,464.00,0.00,38.00,23.00,1200.00
1986,220,48038,8.00,345.60,0.00,37.00,21.50,1480.00
1986,221,48038,0.00,435.20,0.00,37.00,23.00,1480.00
1986,222,48038,6.00,316.80,0.00,36.50,22.50,1880.00
1986,223,48038,0.00,393.60,0.00,35.50,23.00,1760.00
1986,224,47693,0.00,403.20,0.00,36.50,23.50,1760.00
1986,225,47693,0.00,412.80,0.00,37.50,24.00,1760.00
1986,226,47693,0.00,409.60,0.00,38.00,24.50,1840.00
1986,227,47347,0.00,419.20,0.00,38.00,24.00,1760.00
1986,228,47347,0.00,390.40,0.00,38.00,25.00,1960.00
1986,229,47347,11.00,342.40,0.00,36.50,20.50,1680.00
